cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,lambda,exp_id,walk_length,iterations,time_similarities,time_results,cond_number,noise_ptg,patients_per_cond,time_symptom_embeddings,graph,p,q,num_walks,time_patient_embeddings,time_gen_patients,enriched_embeddings
0.9734777712715644,0.9708653514105972,0.9664449048841645,0.971527108388511,0.9758000390372806,orpha,1,20,50,1,176.82396626472473,0.3140270709991455,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9630401134490967,15.728996276855469,no
0.9697614221581611,0.9788895395102323,0.9816298064651742,0.9725898232812336,0.9738537303124484,orpha,1,21,50,1,210.371967792511,0.49599695205688477,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9320294857025146,15.008967399597168,no
0.9754004324129544,0.9796309475549149,0.9811958920769336,0.9784778463432579,0.9825007882527814,orpha,1,22,50,1,205.56792092323303,0.34699320793151855,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.7789909839630127,19.897003173828125,no
0.9665683227482246,0.9732567602059967,0.9762938606369083,0.9633376874915544,0.9718159842649731,orpha,1,23,50,1,180.08747029304504,0.28000450134277344,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.524045705795288,17.733005046844482,no
0.971625752593727,0.9731834902331726,0.9761886101226671,0.970637658964311,0.9784571265558608,orpha,1,24,50,1,192.9610025882721,0.3220407962799072,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9500014781951904,14.42900037765503,no
0.9618016455715208,0.9725540891551431,0.9773923096557212,0.9648598411482965,0.9611109109199285,orpha,1,25,50,1,314.5071473121643,0.3609960079193115,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.944035530090332,15.996954917907715,no
0.9541451586264883,0.9690892302148553,0.9748105941173821,0.9653587676230801,0.9616492500337823,orpha,1,26,50,1,371.0823256969452,0.27703332901000977,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.456003189086914,20.702560424804688,no
0.9675492845667613,0.9746917556266234,0.9783310811825293,0.9715103674008678,0.9658004894674413,orpha,1,27,50,1,319.64879846572876,0.45800161361694336,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9940013885498047,16.35696244239807,no
0.9617574283440686,0.9718132816840082,0.9741146795189407,0.9650719937540352,0.9605757248172004,orpha,1,28,50,1,311.77307629585266,0.41700124740600586,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.0179946422576904,19.74800395965576,no
0.9706784979655572,0.9784614056423885,0.9807074756392354,0.9700584057775176,0.9717649355134154,orpha,1,29,50,1,325.0317277908325,0.3020000457763672,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,3.1319987773895264,20.381009101867676,no
0.9431062414605947,0.9582132186237857,0.9784050268005947,0.9530515141960572,0.9359037881176524,orpha,1,30,50,1,400.57324862480164,0.3810417652130127,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.2129974365234375,16.320992469787598,no
0.9346637538849603,0.9563890515442247,0.9648810113658544,0.9493959731543624,0.9297563923546988,orpha,1,31,50,1,435.92862701416016,0.29300785064697266,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.190001964569092,16.011960983276367,no
0.9277841838956203,0.9514797381499331,0.9621297839436662,0.9336704052370014,0.925801390327763,orpha,1,32,50,1,420.84118127822876,0.3549995422363281,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9900050163269043,16.437957286834717,no
0.9265734276233804,0.9513910034082549,0.9604348152485623,0.9419388015554855,0.9246865006080808,orpha,1,33,50,1,420.26361060142517,0.3769969940185547,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.2029969692230225,18.218000411987305,no
0.9357661066318333,0.977452367010495,0.9816987222797772,0.961452036695044,0.9349707971112413,orpha,1,34,50,1,497.7809669971466,0.3639981746673584,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.4449989795684814,20.155006885528564,no
0.9344118883533774,0.9594692431271864,0.9787162740417098,0.9532960977733737,0.9345536987823371,orpha,1,35,50,1,761.8153660297394,0.3709990978240967,150,0.6,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.592001438140869,20.759002208709717,no
0.9133198955002028,0.9464241850967674,0.9633421917931625,0.922164917496209,0.8875146765160729,orpha,1,36,50,1,655.22851729393,0.32300853729248047,150,0.6,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.5339982509613037,20.381003618240356,no
